1;Armour Group, торгово-производсвенная компания ;г. Нижний Новгород, Молодежный проспект, 82;(831) 298-62-03;43.805141;56.247896
2;Blue Fish, группа компаний Рольф ;г. Нижний Новгород, Московское шоссе, 352а;(831) 274-89-90;43.789582;56.309863
